	Unnamed: 0	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF	avg_sen	complexity
88	88	7	00001110100011110000100000001110000010000000111000000000000010000000100000001110000000000000100000000000000010000000000000000000	iiiaaii	23	Y	4	7	iiiaaii	23	00001110100011110000100000001110000010000000111000000000000010000000100000001110000000000000100000000000000010000000000000000000	1.359375	41
89	89	7	00001010101011110000000000001010000000000000101000000000000000000000000000001010000000000000000000000000000000000000000000000000	iiiaaii	14	Y	5	6	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000	0.9375	20
90	90	7	00001100110011110000000000001100000000000000110000000000000000000000000000001100000000000000000000000000000000000000000000000000	iiiaaii	14	Y	6	6	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000	0.9375	20
91	91	7	01001101110111110000010001001101000001000100110100000000000001000100110111011111000001000100110100000100010011010000000000000100	iiiaaia	44	Y	0	6	iiaaia	22	0100110111011111000001000100110100000100010011010000000000000100	1.875	34
92	92	7	01001101110111110000010001001101010011011101111100000100010011010000010001001101000000000000010000000100010011010000000000000100	iiiaaia	44	Y	1	6	iiaaia	22	0100110111011111000001000100110100000100010011010000000000000100	1.875	34
93	93	7	01001101110111110100110111011111000001000100110100000100010011010000010001001101000001000100110100000000000001000000000000000100	iiiaaia	44	Y	2	6	iiaaia	22	0100110111011111000001000100110100000100010011010000000000000100	1.875	34
94	94	7	01001101111111110000010011011111000001001101111100000000010011010000010011011111000000000100110100000000010011010000000000000100	iiiaaia	49	Y	3	7	iiiaaia	49	01001101111111110000010011011111000001001101111100000000010011010000010011011111000000000100110100000000010011010000000000000100	1.953125	35
95	95	7	01001111110111110000110101001111000011010100111100000100000011010000110101001111000001000000110100000100000011010000000000000100	iiiaaia	49	Y	4	7	iiiaaia	49	01001111110111110000110101001111000011010100111100000100000011010000110101001111000001000000110100000100000011010000000000000100	1.953125	35
96	96	7	01011111111111110000010101011111000001010101111100000000000001010000010101011111000000000000010100000000000001010000000000000000	iiiaaia	44	Y	5	6	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000	1.875	34
97	97	7	01011101110111110100010101011101010001010101110100000100010001010100010101011101000001000100010100000100010001010000000000000100	iiiaaia	49	Y	6	7	iiiaaia	49	01011101110111110100010101011101010001010101110100000100010001010100010101011101000001000100010100000100010001010000000000000100	1.953125	35
98	98	7	00101011101111110000001000101011000000100010101100000000000000100010101110111111000000100010101100000010001010110000000000000010	iiiaaai	44	Y	0	6	iiaaai	22	0010101110111111000000100010101100000010001010110000000000000010	1.875	34
99	99	7	00101011101111110000001000101011001010111011111100000010001010110000001000101011000000000000001000000010001010110000000000000010	iiiaaai	44	Y	1	6	iiaaai	22	0010101110111111000000100010101100000010001010110000000000000010	1.875	34
100	100	7	00101011101111110010101110111111000000100010101100000010001010110000001000101011000000100010101100000000000000100000000000000010	iiiaaai	44	Y	2	6	iiaaai	22	0010101110111111000000100010101100000010001010110000000000000010	1.875	34
101	101	7	00101011111111110000001010111111000000101011111100000000001010110000001010111111000000000010101100000000001010110000000000000010	iiiaaai	49	Y	3	7	iiiaaai	49	00101011111111110000001010111111000000101011111100000000001010110000001010111111000000000010101100000000001010110000000000000010	1.953125	35
102	102	7	00101111101111110000101100101111000010110010111100000010000010110000101100101111000000100000101100000010000010110000000000000010	iiiaaai	49	Y	4	7	iiiaaai	49	00101111101111110000101100101111000010110010111100000010000010110000101100101111000000100000101100000010000010110000000000000010	1.953125	35
103	103	7	00111011101111110010001100111011001000110011101100000010001000110010001100111011000000100010001100000010001000110000000000000010	iiiaaai	49	Y	5	7	iiiaaai	49	00111011101111110010001100111011001000110011101100000010001000110010001100111011000000100010001100000010001000110000000000000010	1.953125	35
104	104	7	00111111111111110000001100111111000000110011111100000000000000110000001100111111000000000000001100000000000000110000000000000000	iiiaaai	44	Y	6	6	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000	1.875	34
105	105	7	01111111111111110001011101111111000101110111111100000001000101110111111111111111000101110111111100010111011111110000000100010111	iiiaaaa	84	Y	0	6	iiaaaa	42	0111111111111111000101110111111100010111011111110000000100010111	1.875	34
106	106	7	01111111111111110001011101111111011111111111111100010111011111110001011101111111000000010001011100010111011111110000000100010111	iiiaaaa	84	Y	1	6	iiaaaa	42	0111111111111111000101110111111100010111011111110000000100010111	1.875	34
107	107	7	01111111111111110111111111111111000101110111111100010111011111110001011101111111000101110111111100000001000101110000000100010111	iiiaaaa	84	Y	2	6	iiaaaa	42	0111111111111111000101110111111100010111011111110000000100010111	1.875	34
108	108	7	01111111111111110001011111111111000101111111111100000001011111110001011111111111000000010111111100000001011111110000000000010111	iiiaaaa	79	Y	3	7	iiiaaaa	79	01111111111111110001011111111111000101111111111100000001011111110001011111111111000000010111111100000001011111110000000000010111	1.953125	35
109	109	7	01111111111111110001111101111111000111110111111100000111000111110001111101111111000001110001111100000111000111110000000100000111	iiiaaaa	79	Y	4	7	iiiaaaa	79	01111111111111110001111101111111000111110111111100000111000111110001111101111111000001110001111100000111000111110000000100000111	1.953125	35
110	110	7	01111111111111110011011101111111001101110111111100010011001101110011011101111111000100110011011100010011001101110000000100010011	iiiaaaa	79	Y	5	7	iiiaaaa	79	01111111111111110011011101111111001101110111111100010011001101110011011101111111000100110011011100010011001101110000000100010011	1.953125	35
111	111	7	01111111111111110101011101111111010101110111111100010101010101110101011101111111000101010101011100010101010101110000000100010101	iiiaaaa	79	Y	6	7	iiiaaaa	79	01111111111111110101011101111111010101110111111100010101010101110101011101111111000101010101011100010101010101110000000100010101	1.953125	35
112	112	7	00000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000	iiaiiii	2	Y	0	6	iaiiii	1	0000000000000000100000000000000000000000000000000000000000000000	0.1875	6
113	113	7	00000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000	iiaiiii	2	Y	1	6	iaiiii	1	0000000000000000100000000000000000000000000000000000000000000000	0.1875	6
114	114	7	00000000000000001110100010000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000	iiaiiii	7	Y	2	7	iiaiiii	7	00000000000000001110100010000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000	0.578125	21
115	115	7	00000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiaiiii	2	Y	3	6	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000	0.1875	6
116	116	7	00000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiaiiii	2	Y	4	6	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000	0.1875	6
117	117	7	00000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiaiiii	2	Y	5	6	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000	0.1875	6
118	118	7	00000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiaiiii	2	Y	6	6	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000	0.1875	6
119	119	7	01000000000000001101010001000000000000000000000001000000000000000100000000000000110101000100000000000000000000000100000000000000	iiaiiia	14	Y	0	6	iaiiia	7	0100000000000000110101000100000000000000000000000100000000000000	0.9375	20
120	120	7	01000000000000001101010001000000010000000000000011010100010000000000000000000000010000000000000000000000000000000100000000000000	iiaiiia	14	Y	1	6	iaiiia	7	0100000000000000110101000100000000000000000000000100000000000000	0.9375	20
121	121	7	01000000000000001111110111010100000000000000000011010100010000000000000000000000110101000100000000000000000000000100000000000000	iiaiiia	23	Y	2	7	iiaiiia	23	01000000000000001111110111010100000000000000000011010100010000000000000000000000110101000100000000000000000000000100000000000000	1.359375	41
122	122	7	01000000010000001101010011010100000000000000000001000000010000000000000000000000010000000100000000000000000000000000000000000000	iiaiiia	14	Y	3	6	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000	0.9375	20
123	123	7	01000100000000001101110101000100000000000000000001000100000000000000000000000000010001000000000000000000000000000000000000000000	iiaiiia	14	Y	4	6	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000	0.9375	20
