	BF_as_int	k	avg_sen	bias
483	1296779406961803263	6	1.0	53
484	5119	6	1.0	11
485	15762598695796735	6	1.0	53
486	281547996725333	6	1.0	11
487	6196766168003346431	6	1.0	53
488	844506534707251	6	1.0	11
489	3746783780384227327	6	1.0	53
490	4785156209573939	6	1.0	11
491	3746845353035397119	6	1.0	53
492	81607721011	6	1.0	11
493	3746770586244743167	6	1.0	53
494	281840049258581	6	1.0	11
495	6196777162549198847	6	1.0	53
496	18781891990805	6	1.0	11
497	6293780476422782975	6	1.0	53
498	64424509567	6	1.0	11
499	144115184049324031	6	1.0	53
500	51577651	6	1.0	11
501	3692730967484530687	6	1.0	53
502	72340241557557521	6	1.0	11
503	8608489398184411007	6	1.0	53
504	4785147636420881	6	1.0	11
505	8608480602099775487	6	1.0	53
506	1258291	6	1.0	11
507	3689354092397723647	6	1.0	53
508	1407404948783111	6	1.0	11
509	2305596714850934783	6	1.0	53
510	20120371	6	1.0	11
511	3692726844315926527	6	1.0	53
512	281694021156915	6	1.0	11
513	3746845352968290303	6	1.0	53
514	365072225621	6	1.0	11
515	6149665288322285567	6	1.0	53
516	1464583849301	6	1.0	11
517	6151917088127582207	6	1.0	53
518	373662154871	6	1.0	11
519	1297036688756834303	6	1.0	53
520	72340172838208259	6	1.0	11
521	4557431164754689919	6	1.0	53
522	50792199	6	1.0	11
523	2242545499192164351	6	1.0	53
524	219043337011	6	1.0	11
525	3690699891207569407	6	1.0	53
526	13183	6	1.0	11
527	86694292826882047	6	1.0	53
528	1112396542771	6	1.0	11
529	3689573991493664767	6	1.0	53
530	90194313471	6	1.0	11
531	72057591219355647	6	1.0	53
532	133143986239	6	1.0	11
533	288230371990962175	6	1.0	53
534	286994010014981	6	1.0	11
535	6872317106812059647	6	1.0	53
536	300239705674001	6	1.0	11
537	8608489398183886847	6	1.0	53
538	1318554964275	6	1.0	11
539	3708714289708662783	6	1.0	53
540	1407396375495941	6	1.0	11
541	6872316557066723327	6	1.0	53
542	72340190018208005	6	1.0	11
543	6881323756313083775	6	1.0	53
544	17904435	6	1.0	11
545	3689423911386087423	6	1.0	53
546	5587752453461	6	1.0	11
547	6151917088159039487	6	1.0	53
548	4785147619901525	6	1.0	11
549	6196768367026599935	6	1.0	53
550	4785147619770419	6	1.0	11
551	3746774985364961279	6	1.0	53
552	3604543	6	1.0	11
553	287970891407556607	6	1.0	53
554	282578867520773	6	1.0	11
555	6872316420156260351	6	1.0	53
556	4785164799770645	6	1.0	11
557	6340883554565584895	6	1.0	53
558	72340172838339845	6	1.0	11
559	6872316557595213695	6	1.0	53
560	3347251	6	1.0	11
